yyyymmdd,CS,FT,NE,SNE,SWF,SSWF,TYW,TC100,TC200,TC300,TC500,TC1000,NWPTY
20150415,0,0,0,0,0,0,0,0,0,0,0,0,0
20150416,0,0,0,0,0,0,0,0,0,0,0,0,0
20150417,0,0,0,0,0,0,0,0,0,0,0,0,0
20150418,0,0,0,0,0,0,0,0,0,0,0,0,0
20150419,0,0,0,0,0,0,0,0,0,0,0,0,0
20150420,0,1,0,0,0,0,0,0,0,0,0,0,0
20150421,0,1,1,0,0,0,0,0,0,0,0,0,0
20150422,0,0,1,0,0,0,0,0,0,0,0,0,0
20150423,0,0,0,0,0,0,0,0,0,0,0,0,0
20150424,0,0,0,0,0,0,0,0,0,0,0,0,0
20150425,0,0,0,0,0,0,0,0,0,0,0,0,0
20150426,0,0,0,0,0,0,0,0,0,0,0,0,0
20150427,0,0,0,0,0,0,0,0,0,0,0,0,0
20150428,0,0,0,0,0,0,0,0,0,0,0,0,0
20150429,0,0,0,0,0,0,0,0,0,0,0,0,0
20150430,0,0,0,0,0,0,0,0,0,0,0,0,0
20150501,0,0,0,0,1,0,0,0,0,0,0,0,0
20150502,0,0,0,0,1,0,0,0,0,0,0,0,1
20150503,0,1,0,0,1,0,0,0,0,0,0,0,1
20150504,0,1,1,0,1,0,0,0,0,0,0,0,1
20150505,0,0,0,0,1,0,0,0,0,0,0,0,1
20150506,0,0,0,0,1,1,0,0,0,0,0,0,1
20150507,0,1,0,0,1,0,0,0,0,0,0,0,1
20150508,0,0,0,0,1,0,0,0,0,0,0,0,1
20150509,0,0,1,0,1,0,0,0,0,0,0,1,1
20150510,0,0,0,0,1,0,1,0,0,1,1,1,1
20150511,0,0,0,0,1,0,1,0,1,1,1,1,1
20150512,0,1,0,0,1,0,1,0,0,0,0,1,1
20150513,0,0,0,0,1,0,0,0,0,0,0,0,1
20150514,0,0,0,0,1,0,0,0,0,0,0,0,1
20150515,0,0,0,0,1,1,0,0,0,0,0,0,1
20150516,0,0,0,0,1,0,0,0,0,0,0,0,1
20150517,0,1,0,0,1,1,0,0,0,0,0,0,1
20150518,0,0,0,0,1,1,0,0,0,0,0,0,1
20150519,0,1,0,0,1,1,0,0,0,0,0,0,1
20150520,0,1,1,0,1,1,0,0,0,0,0,0,1
20150521,0,1,0,0,1,1,0,0,0,0,0,0,1
20150522,0,1,0,0,1,1,0,0,0,0,0,0,1
20150523,0,1,0,0,1,1,0,0,0,0,0,0,1
20150524,0,1,1,0,1,1,0,0,0,0,0,0,1
20150525,0,1,1,0,1,1,0,0,0,0,0,0,0
20150526,0,1,0,0,1,1,0,0,0,0,0,0,0
20150527,0,0,0,0,1,1,0,0,0,0,0,0,0
20150528,0,0,0,0,1,1,0,0,0,0,0,0,0
20150529,0,0,0,0,1,1,0,0,0,0,0,0,0
20150530,0,0,0,0,1,1,0,0,0,0,0,0,0
20150531,0,1,0,0,1,0,0,0,0,0,0,0,0
20150601,0,1,0,0,1,0,0,0,0,0,0,0,0
20150602,0,0,0,0,1,0,0,0,0,0,0,0,0
20150603,0,0,0,0,1,1,0,0,0,0,0,0,0
20150604,0,1,0,0,1,0,0,0,0,0,0,0,0
20150605,0,1,0,0,1,0,0,0,0,0,0,0,0
20150606,0,1,0,0,1,0,0,0,0,0,0,0,0
20150607,0,0,0,0,0,0,0,0,0,0,0,0,0
20150608,0,0,0,0,1,0,0,0,0,0,0,0,0
20150609,0,0,0,0,1,0,0,0,0,0,0,0,0
20150610,0,0,0,0,1,0,0,0,0,0,0,0,0
20150611,0,0,0,0,1,0,0,0,0,0,0,0,0
20150612,0,0,0,0,1,0,0,0,0,0,0,0,0
20150613,0,0,0,0,1,0,0,0,0,0,0,0,0
20150614,0,0,0,0,1,0,0,0,0,0,0,0,0
20150615,0,0,0,0,0,0,0,0,0,0,0,0,0
20150616,0,0,0,0,1,0,0,0,0,0,0,0,0
20150617,0,0,0,0,1,0,0,0,0,0,0,0,0
20150618,0,0,0,0,1,0,0,0,0,0,0,0,0
20150619,0,1,0,0,0,0,0,0,0,0,0,0,1
20150620,0,1,0,0,0,0,0,0,0,0,0,0,1
20150621,0,0,0,0,1,1,0,0,0,0,0,0,1
20150622,0,0,0,0,1,1,0,0,0,0,0,0,1
20150623,0,0,0,0,1,1,0,0,0,0,0,0,1
20150624,0,0,0,0,1,1,0,0,0,0,0,0,1
20150625,0,0,0,0,1,1,0,0,0,0,0,0,1
20150626,0,0,0,0,1,1,0,0,0,0,0,0,0
20150627,0,0,0,0,1,1,0,0,0,0,0,0,0
20150628,0,0,0,0,1,0,0,0,0,0,0,0,0
20150629,0,0,0,0,1,0,0,0,0,0,0,0,1
20150630,0,0,0,0,1,0,0,0,0,0,0,0,1
20150701,0,0,0,0,1,1,0,0,0,0,0,0,1
20150702,0,0,0,0,1,1,0,0,0,0,0,0,1
20150703,0,1,0,0,1,0,0,0,0,0,0,1,1
20150704,0,0,0,0,1,0,0,0,0,0,0,1,1
20150705,0,1,0,0,0,0,0,0,0,0,1,1,1
20150706,0,0,0,0,0,0,1,0,0,1,1,1,1
20150707,0,0,0,0,0,0,1,0,0,1,1,1,1
20150708,0,0,0,0,1,1,1,0,1,1,1,1,1
20150709,0,0,0,0,0,0,1,0,0,0,1,1,1
20150710,0,0,0,0,1,0,1,0,0,0,1,1,1
20150711,0,0,0,0,1,1,1,0,0,0,1,1,1
20150712,0,0,0,0,1,1,0,0,0,0,0,1,1
20150713,0,0,0,0,1,1,0,0,0,0,0,0,1
20150714,0,0,0,0,1,1,0,0,0,0,0,0,1
20150715,0,0,0,0,1,1,0,0,0,0,0,0,1
20150716,0,0,0,0,1,1,0,0,0,0,0,0,1
20150717,0,0,0,0,1,1,0,0,0,0,0,0,1
20150718,0,0,0,0,1,1,0,0,0,0,0,0,1
20150719,0,0,0,0,1,1,0,0,0,0,0,0,0
20150720,0,0,0,0,1,1,0,0,0,0,0,0,0
20150721,0,0,0,0,1,1,0,0,0,0,0,0,0
20150722,0,0,0,0,1,1,0,0,0,0,0,1,1
20150723,0,0,0,0,1,1,0,0,0,0,0,1,1
20150724,0,0,0,0,1,1,0,0,0,0,0,1,1
20150725,0,0,0,0,1,1,0,0,0,0,0,1,1
20150726,0,0,0,0,1,1,0,0,0,0,0,0,0
20150727,0,0,0,0,1,1,0,0,0,0,0,0,0
20150728,0,0,0,0,1,0,0,0,0,0,0,0,0
20150729,0,0,0,0,1,0,0,0,0,0,0,0,1
20150730,0,0,0,0,1,0,0,0,0,0,0,0,1
20150731,0,0,0,0,0,0,0,0,0,0,0,0,1
20150801,0,0,0,0,0,0,0,0,0,0,0,0,1
20150802,0,0,0,0,0,0,0,0,0,0,0,0,1
20150803,0,0,0,0,0,0,0,0,0,0,0,0,1
20150804,0,0,0,0,0,0,0,0,0,0,0,0,1
20150805,0,0,0,0,0,0,0,0,0,0,0,0,1
20150806,0,0,0,0,0,0,1,0,0,0,0,1,1
20150807,0,0,0,0,0,0,1,1,1,1,1,1,1
20150808,0,0,0,0,1,1,1,1,1,1,1,1,1
20150809,0,0,0,0,1,1,1,0,0,0,1,1,1
20150810,0,0,0,0,1,1,0,0,0,0,0,1,1
20150811,0,0,0,0,1,1,0,0,0,0,0,1,1
20150812,0,0,0,0,1,1,0,0,0,0,0,0,1
20150813,0,0,0,0,1,1,0,0,0,0,0,0,1
20150814,0,0,0,0,1,1,0,0,0,0,0,0,1
20150815,0,0,0,0,1,1,0,0,0,0,0,0,1
20150816,0,0,0,0,1,1,0,0,0,0,0,0,1
20150817,0,1,0,0,1,0,0,0,0,0,0,0,1
20150818,0,0,0,0,1,0,0,0,0,0,0,0,1
20150819,0,0,0,0,1,0,0,0,0,0,0,1,1
20150820,0,0,0,0,0,0,1,0,0,0,1,1,1
20150821,0,0,0,0,0,0,1,0,0,0,1,1,1
20150822,0,0,0,0,0,0,1,0,1,1,1,1,1
20150823,0,0,0,0,1,1,1,0,1,1,1,1,1
20150824,0,0,0,0,1,1,0,0,0,0,1,1,1
20150825,0,0,0,0,1,0,0,0,0,0,0,0,1
20150826,0,0,0,0,1,1,0,0,0,0,0,0,1
20150827,0,0,0,0,1,1,0,0,0,0,0,0,1
20150828,0,0,0,0,1,1,0,0,0,0,0,0,1
20150829,0,0,0,0,1,1,0,0,0,0,0,0,1
20150830,0,1,0,0,1,1,0,0,0,0,0,0,1
20150831,0,1,0,0,1,1,0,0,0,0,0,0,0
20150901,0,1,0,0,1,1,0,0,0,0,0,0,0
20150902,0,1,0,0,1,1,0,0,0,0,0,0,0
20150903,0,0,0,0,0,0,0,0,0,0,0,0,0
20150904,0,0,0,0,1,0,0,0,0,0,0,0,0
20150905,0,0,0,0,1,0,0,0,0,0,0,0,1
20150906,0,1,0,0,1,0,0,0,0,0,0,0,1
20150907,0,1,1,0,1,0,0,0,0,0,0,0,1
20150908,0,1,1,0,0,0,0,0,0,0,0,0,1
20150909,0,0,1,0,0,0,0,0,0,0,0,0,1
20150910,0,0,1,0,0,0,0,0,0,0,0,0,1
20150911,0,0,0,0,0,0,0,0,0,0,0,0,1
20150912,0,0,1,0,0,0,0,0,0,0,0,0,0
20150913,0,0,1,1,0,0,0,0,0,0,0,0,1
20150914,0,0,1,1,0,0,0,0,0,0,0,0,1
20150915,0,0,1,0,0,0,0,0,0,0,0,0,1
20150916,0,0,0,0,0,0,0,0,0,0,0,0,1
20150917,0,0,1,0,0,0,0,0,0,0,0,0,1
20150918,0,0,0,0,0,0,0,0,0,0,0,0,1
20150919,0,0,0,0,0,0,0,0,0,0,0,0,1
20150920,0,0,0,0,0,0,0,0,0,0,0,0,1
20150921,0,1,0,0,1,0,0,0,0,0,0,0,1
20150922,0,0,0,0,0,0,0,0,0,0,0,0,1
20150923,0,0,0,0,0,0,0,0,0,0,0,0,1
20150924,0,0,1,0,0,0,0,0,0,0,0,0,1
20150925,0,0,1,0,0,0,0,0,0,0,0,0,1
20150926,0,0,0,0,0,0,0,0,0,0,0,1,1
20150927,0,0,0,0,0,0,1,0,0,1,1,1,1
